"abbrev"	"statename"	"tipping_min_wage"	"min_wage"	"value_100"	"median_wage"	"median_wage_true"	"tipping_min_wage_true"	"hourly_median"	"hourly_median_true"
"AL"	"Alabama"	2.13	7.25	113.9	7008	7982.112	2.42607	8.94	10.18266
"AK"	"Alaska"	9.8	9.8	94.61	15949.3231707317	15089.6546518293	9.27178	11.8	11.16398
"AZ"	"Arizona"	7	10	103.73	10539	10932.1047	7.2611	9.14	9.480922
"AR"	"Arkansas"	2.63	8.5	114.29	5424.95833333328	6200.18487916661	3.005827	8.87	10.137523
"CA"	"California"	10.5	10.5	88.97	11459	10195.0723	9.34185	12.25	10.898825
"CO"	"Colorado"	6.28	9.3	98.04	11730.2666666676	11500.3534400009	6.156912	9.16	8.980464
"CT"	"Connecticut"	6.38	10.1	91.91	9039.89743589753	8308.56973333342	5.863858	9.68	8.896888
"DE"	"Delaware"	2.23	8.25	98.14	9452.66666666665	9276.84706666665	2.188522	9.4	9.22516
"FL"	"Florida"	5.08	8.1	100.91	12000	12109.2	5.126228	9.71	9.798361
"GA"	"Georgia"	2.13	5.15	108.7	8000	8696	2.31531	8.74	9.50038
"HI"	"Hawaii"	8.5	9.25	85.62	17000	14555.4	7.2777	16.46	14.093052
"ID"	"Idaho"	3.35	7.25	107.07	7224.46268656717	7735.23219850746	3.586845	8.9	9.52923
"IL"	"Illinois"	4.95	8.25	99.3	9158	9093.894	4.91535	9.23	9.16539
"IN"	"Indiana"	2.13	7.25	109.41	7501.80000000005	8207.71938000006	2.330433	9.09	9.945369
"IA"	"Iowa"	4.35	7.25	110.74	6194	6859.2356	4.81719	8.99	9.955526
"KS"	"Kansas"	2.13	7.25	110.25	5185.81818181819	5717.36454545456	2.348325	8.88	9.7902
"KY"	"Kentucky"	2.13	7.25	112.74	7377	8316.8298	2.401362	8.79	9.909846
"LA"	"Louisiana"	2.13	7.25	109.41	8009	8762.6469	2.330433	8.62	9.431142
"ME"	"Maine"	5	9	102.99	8140	8383.386	5.1495	9.38	9.660462
"MD"	"Maryland"	3.63	9.25	90.66	8140	7379.724	3.290958	9.38	8.503908
"MA"	"Massachusetts"	3.75	11	93.37	8536	7970.0632	3.501375	11.26	10.513462
"MI"	"Michigan"	3.38	8.9	106.27	7099.17021276594	7544.28818510636	3.591926	9.22	9.798094
"MN"	"Minnesota"	9.5	9.5	102.46	9158	9383.2868	9.7337	9.45	9.68247
"MS"	"Mississippi"	2.13	7.25	115.34	6007	6928.4738	2.456742	8.81	10.161454
"MO"	"Missouri"	3.85	7.7	111.86	7221.5	8077.9699	4.30661	8.96	10.022656
"MT"	"Montana"	8.15	8.15	106.16	8431	8950.3496	8.65204	9.07	9.628712
"NE"	"Nebraska"	2.13	9	110.38	7226	7976.0588	2.351094	9.34	10.309492
"NV"	"Nevada"	8.25	8.25	102.35	20436.923076923	20917.1907692307	8.443875	10.79	11.043565
"NH"	"New Hampshire"	3.26	7.25	95.06	10000.6	9506.57035999999	3.098956	9.39	8.926134
"NJ"	"New Jersey"	2.13	8.44	87.34	9611	8394.2474	1.860342	11.19	9.773346
"NM"	"New Mexico"	2.13	7.5	105.26	7010.03125	7378.75889375	2.242038	8.94	9.410244
"NY"	"New York"	7.5	9.7	86.43	10539	9108.8577	6.48225	10.94	9.455442
"NC"	"North Carolina"	2.13	7.25	109.05	7000	7633.5	2.322765	8.99	9.803595
"ND"	"North Dakota"	4.86	7.25	109.29	5000	5464.5	5.311494	9.02	9.857958
"OH"	"Ohio"	4.08	8.15	111.98	8000	8958.4	4.568784	9.15	10.24617
"OK"	"Oklahoma"	2.13	7.25	110.99	6323	7017.8977	2.364087	8.95	9.933605
"OR"	"Oregon"	9.75	10.25	101.01	10539	10645.4439	9.848475	10.62	10.727262
"PA"	"Pennsylvania"	2.83	7.25	101.83	6800	6924.44	2.881789	9.67	9.846961
"RI"	"Rhode Island"	3.89	9.6	101.32	9807.00000000016	9936.45240000016	3.941348	9.68	9.807776
"SC"	"South Carolina"	2.13	7.25	110.5	7758.69696969689	8573.36015151506	2.35365	8.83	9.75715
"SD"	"South Dakota"	4.325	8.65	113.64	7377	8383.2228	4.91493	9.39	10.670796
"TN"	"Tennessee"	2.13	7.25	110.86	7382.75000000002	8184.51665000002	2.361318	8.78	9.733508
"TX"	"Texas"	2.13	7.25	103.52	8100	8385.12	2.204976	9.14	9.461728
"UT"	"Utah"	2.13	7.25	103.09	7224	7447.2216	2.195817	9.75	10.051275
"VT"	"Vermont"	5	10	98.81	9255.53333333335	9145.39248666668	4.9405	14.03	13.863043
"VA"	"Virginia"	2.13	7.25	97.47	8000	7797.6	2.076111	10.44	10.175868
"WA"	"Washington"	11	11	96.34	12210	11763.114	10.5974	11.82	11.387388
"WV"	"West Virginia"	2.62	8.75	112.49	6000	6749.4	2.947238	9.46	10.641554
"WI"	"Wisconsin"	2.33	7.25	107.07	7000	7494.9	2.494731	9.06	9.700542
"WY"	"Wyoming"	2.13	5.15	103.95	6289.46	6537.89367	2.214135	9.03	9.386685
